"hgnc" "ensembl"
"NAPA" "ENSG00000105402"
"NAPA-AS1" NA
"NAPB" "ENSG00000125814"
"NAPEPLD" "ENSG00000161048"
"NAPG" "ENSG00000134265"
"NAPGP1" "ENSG00000271408"
"NAPGP2" "ENSG00000275906"
"NAPRT" "ENSG00000147813"
"NAPSA" "ENSG00000131400"
"NAPSB" "ENSG00000131401"
"NARF" "ENSG00000141562"
"NARF-AS1" "ENSG00000266445"
"NARF-IT1" "ENSG00000266236"
"NARS1" "ENSG00000134440"
"NARS1P1" NA
"NARS1P2" "ENSG00000253789"
"NARS2" "ENSG00000137513"
"NASP" "ENSG00000132780"
"NASPP1" NA
"NAT1" "ENSG00000171428"
"NAT2" "ENSG00000156006"
"NAT8" "ENSG00000144035"
"NAT8B" "ENSG00000204872"
"NAT8L" "ENSG00000185818"
"NAT9" "ENSG00000109065"
"NAT10" "ENSG00000135372"
"NAT14" "ENSG00000090971"
"NAT16" "ENSG00000167011"
"NATD1" "ENSG00000274180"
"NATP" "ENSG00000253937"
"NAV1" "ENSG00000134369"
"NAV2" "ENSG00000166833"
"NAV2-AS1" "ENSG00000254894"
"NAV2-AS2" "ENSG00000254453"
"NAV2-AS3" "ENSG00000254542"
"NAV2-AS4" "ENSG00000254622"
"NAV2-AS5" "ENSG00000255043"
"NAV2-IT1" "ENSG00000255270"
"NAV3" "ENSG00000067798"
"NAXD" "ENSG00000213995"
"NAXE" "ENSG00000163382"
"NBAS" "ENSG00000151779"
"NBAT1" "ENSG00000260455"
"NBCCS" NA
"NBDY" "ENSG00000204272"
"NBEA" "ENSG00000172915"
"NBEA-AS1" NA
"NBEAL1" "ENSG00000144426"
"NBEAL2" "ENSG00000160796"
"NBEAP1" "ENSG00000258590"
"NBEAP2" NA
"NBEAP3" "ENSG00000223875"
"NBEAP4" NA
"NBEAP5" "ENSG00000277710"
"NBEAP6" NA
"NBIA1" NA
"NBL1" "ENSG00000158747"
"NBN" "ENSG00000104320"
"NBP1" NA
"NBPF1" "ENSG00000219481"
"NBPF2P" "ENSG00000227001"
"NBPF3" "ENSG00000142794"
"NBPF4" "ENSG00000196427"
"NBPF5P" "ENSG00000243967"
"NBPF6" "ENSG00000186086"
"NBPF7" "ENSG00000215864"
"NBPF8" "ENSG00000270231"
"NBPF9" "ENSG00000269713"
"NBPF10" "ENSG00000271425"
"NBPF11" "ENSG00000263956"
"NBPF12" "ENSG00000268043"
"NBPF13P" "ENSG00000227242"
"NBPF14" "ENSG00000270629"
"NBPF15" "ENSG00000266338"
"NBPF16" NA
"NBPF17P" "ENSG00000179571"
"NBPF18P" "ENSG00000240667"
"NBPF19" "ENSG00000271383"
"NBPF20" "ENSG00000162825"
"NBPF21P" "ENSG00000231382"
"NBPF22P" "ENSG00000205449"
"NBPF23P" NA
"NBPF24" NA
"NBPF25P" "ENSG00000272150"
"NBPF26" "ENSG00000273136"
"NBR1" "ENSG00000188554"
"NBR2" "ENSG00000198496"
"NCA" NA
"NCAD" NA
"NCALD" "ENSG00000104490"
"NCAM1" "ENSG00000149294"
"NCAM1-AS1" "ENSG00000227487"
"NCAM2" "ENSG00000154654"
"NCAN" "ENSG00000130287"
"NCAPD2" "ENSG00000010292"
"NCAPD2P1" "ENSG00000230356"
"NCAPD3" "ENSG00000151503"
"NCAPG" "ENSG00000109805"
"NCAPG2" "ENSG00000146918"
"NCAPGP1" "ENSG00000250290"
"NCAPGP2" "ENSG00000259749"
"NCAPH" "ENSG00000121152"
"NCAPH2" "ENSG00000025770"
"NCBP1" "ENSG00000136937"
"NCBP2" "ENSG00000114503"
"NCBP2-AS1" "ENSG00000225578"
"NCBP2AS2" "ENSG00000270170"
"NCBP2L" "ENSG00000170935"
"NCBP3" "ENSG00000074356"
"NCCRP1" "ENSG00000188505"
"NCDN" "ENSG00000020129"
"NCEH1" "ENSG00000144959"
"NCF1" "ENSG00000158517"
"NCF1B" "ENSG00000182487"
"NCF1C" "ENSG00000165178"
"NCF2" "ENSG00000116701"
"NCF4" "ENSG00000100365"
"NCF4-AS1" "ENSG00000183822"
"NCK" NA
"NCK1" "ENSG00000158092"
"NCK1-DT" "ENSG00000239213"
"NCK2" "ENSG00000071051"
"NCKAP1" "ENSG00000061676"
"NCKAP1L" "ENSG00000123338"
"NCKAP5" "ENSG00000176771"
"NCKAP5-AS1" "ENSG00000233729"
"NCKAP5-AS2" "ENSG00000226953"
"NCKAP5-IT1" "ENSG00000232474"
"NCKAP5L" "ENSG00000167566"
"NCKIPSD" "ENSG00000213672"
"NCL" "ENSG00000115053"
"NCLN" NA
"NCLP1" "ENSG00000213212"
"NCLP2" "ENSG00000234228"
"NCMAP" "ENSG00000184454"
"NCMAP-DT" "ENSG00000264443"
"NCOA1" "ENSG00000084676"
"NCOA2" "ENSG00000140396"
"NCOA3" "ENSG00000124151"
"NCOA4" "ENSG00000266412"
"NCOA4P1" NA
"NCOA4P2" "ENSG00000249934"
"NCOA4P3" "ENSG00000249245"
"NCOA4P4" "ENSG00000249215"
"NCOA5" "ENSG00000124160"
"NCOA6" "ENSG00000198646"
"NCOA7" "ENSG00000111912"
"NCOA7-AS1" "ENSG00000232131"
"NCOR1" "ENSG00000141027"
"NCOR1P1" "ENSG00000240108"
"NCOR1P2" "ENSG00000265019"
"NCOR1P3" "ENSG00000233601"
"NCOR2" "ENSG00000196498"
"NCR1" "ENSG00000189430"
"NCR2" "ENSG00000096264"
"NCR3" "ENSG00000204475"
"NCR3LG1" "ENSG00000188211"
"NCRNA00055" NA
"NCRNA00056" NA
"NCRNA00090" NA
"NCRNA00091" NA
"NCRNA00098" NA
"NCRNA00103" NA
"NCRNA00104" NA
"NCRNA00185" NA
"NCRNA00220" NA
"NCRNA00250" NA
"NCRNA00270" NA
"NCRNA00270B" NA
"NCRNA00291" NA
"NCRUPAR" NA
"NCS1" "ENSG00000107130"
"NCSTN" "ENSG00000162736"
"NCSTNP1" "ENSG00000219592"
"NCX1" NA
"NDC1" "ENSG00000058804"
"NDC80" "ENSG00000080986"
"NDE1" "ENSG00000072864"
"NDE1P1" NA
"NDE1P2" "ENSG00000271337"
"NDEL1" "ENSG00000166579"
"NDFIP1" "ENSG00000131507"
"NDFIP1P1" "ENSG00000255892"
"NDFIP2" "ENSG00000102471"
"NDFIP2-AS1" "ENSG00000232132"
"NDN" "ENSG00000182636"
"NDNF" "ENSG00000173376"
"NDNL1" NA
"NDOR1" "ENSG00000188566"
"NDP" "ENSG00000124479"
"NDP-AS1" "ENSG00000236276"
"NDRG1" "ENSG00000104419"
"NDRG2" "ENSG00000165795"
"NDRG3" "ENSG00000101079"
"NDRG4" "ENSG00000103034"
"NDST1" "ENSG00000070614"
"NDST1-AS1" "ENSG00000254333"
"NDST2" "ENSG00000166507"
"NDST3" "ENSG00000164100"
"NDST4" "ENSG00000138653"
"NDUFA1" "ENSG00000125356"
"NDUFA2" "ENSG00000131495"
"NDUFA3" "ENSG00000170906"
"NDUFA3P1" "ENSG00000267590"
"NDUFA3P2" "ENSG00000254856"
"NDUFA3P3" "ENSG00000213032"
"NDUFA3P4" "ENSG00000259262"
"NDUFA3P5" NA
"NDUFA3P6" "ENSG00000262366"
"NDUFA4" "ENSG00000189043"
"NDUFA4L2" "ENSG00000185633"
"NDUFA4P1" NA
"NDUFA4P2" "ENSG00000236691"
"NDUFA5" "ENSG00000128609"
"NDUFA5P1" "ENSG00000232390"
"NDUFA5P2" "ENSG00000253454"
"NDUFA5P3" "ENSG00000234853"
"NDUFA5P4" "ENSG00000233659"
"NDUFA5P5" "ENSG00000242365"
"NDUFA5P6" "ENSG00000256310"
"NDUFA5P7" "ENSG00000234039"
"NDUFA5P8" "ENSG00000236987"
"NDUFA5P9" "ENSG00000220831"
"NDUFA5P10" "ENSG00000224927"
"NDUFA5P11" "ENSG00000259918"
"NDUFA5P12" "ENSG00000248531"
"NDUFA6" "ENSG00000184983"
"NDUFA6-DT" "ENSG00000237037"
"NDUFA7" "ENSG00000267855"
"NDUFA8" "ENSG00000119421"
"NDUFA8P1" "ENSG00000271710"
"NDUFA9" "ENSG00000139180"
"NDUFA9P1" "ENSG00000237406"
"NDUFA10" "ENSG00000130414"
"NDUFA11" "ENSG00000174886"
"NDUFA12" "ENSG00000184752"
"NDUFA12P1" "ENSG00000225999"
"NDUFA13" "ENSG00000186010"
"NDUFAB1" "ENSG00000004779"
"NDUFAB1P1" "ENSG00000217767"
"NDUFAF1" "ENSG00000137806"
"NDUFAF2" "ENSG00000164182"
"NDUFAF3" "ENSG00000178057"
"NDUFAF4" "ENSG00000123545"
"NDUFAF4P1" "ENSG00000259467"
"NDUFAF4P2" "ENSG00000213483"
"NDUFAF4P3" "ENSG00000236411"
"NDUFAF4P4" "ENSG00000231378"
"NDUFAF5" "ENSG00000101247"
"NDUFAF6" "ENSG00000156170"
"NDUFAF7" "ENSG00000003509"
"NDUFAF8" "ENSG00000224877"
"NDUFB1" "ENSG00000183648"
"NDUFB1P1" "ENSG00000231884"
"NDUFB1P2" "ENSG00000234523"
"NDUFB2" "ENSG00000090266"
"NDUFB2-AS1" "ENSG00000240889"
"NDUFB2P1" "ENSG00000249074"
"NDUFB3" "ENSG00000119013"
"NDUFB3P1" NA
"NDUFB3P2" NA
"NDUFB3P3" NA
"NDUFB3P4" NA
"NDUFB3P5" NA
"NDUFB4" "ENSG00000065518"
"NDUFB4P1" "ENSG00000242510"
"NDUFB4P2" "ENSG00000251306"
"NDUFB4P3" "ENSG00000231096"
"NDUFB4P4" "ENSG00000217718"
"NDUFB4P5" "ENSG00000226114"
"NDUFB4P6" "ENSG00000235258"
"NDUFB4P7" "ENSG00000225428"
"NDUFB4P8" "ENSG00000223663"
"NDUFB4P9" "ENSG00000249754"
"NDUFB4P10" "ENSG00000232880"
"NDUFB4P11" "ENSG00000259374"
"NDUFB4P12" "ENSG00000124399"
"NDUFB5" "ENSG00000136521"
"NDUFB5P1" "ENSG00000251025"
"NDUFB5P2" "ENSG00000214628"
"NDUFB6" "ENSG00000165264"
"NDUFB7" "ENSG00000099795"
"NDUFB8" "ENSG00000166136"
"NDUFB8P1" "ENSG00000258972"
"NDUFB8P2" "ENSG00000270264"
"NDUFB8P3" NA
"NDUFB9" "ENSG00000147684"
"NDUFB9P1" "ENSG00000271045"
"NDUFB9P2" "ENSG00000236281"
"NDUFB9P3" "ENSG00000253994"
"NDUFB10" "ENSG00000140990"
"NDUFB10P1" "ENSG00000260870"
"NDUFB10P2" "ENSG00000261624"
"NDUFB11" "ENSG00000147123"
"NDUFB11P1" "ENSG00000235547"
"NDUFC1" "ENSG00000109390"
"NDUFC2" "ENSG00000151366"
"NDUFC2-KCTD14" "ENSG00000259112"
"NDUFS1" "ENSG00000023228"
"NDUFS2" "ENSG00000158864"
"NDUFS2L" NA
"NDUFS3" "ENSG00000213619"
"NDUFS4" "ENSG00000164258"
"NDUFS5" "ENSG00000168653"
"NDUFS5P1" "ENSG00000218424"
"NDUFS5P2" "ENSG00000234226"
"NDUFS5P3" "ENSG00000233664"
"NDUFS5P4" "ENSG00000251437"
"NDUFS5P5" "ENSG00000230671"
"NDUFS5P6" "ENSG00000255531"
"NDUFS5P7" NA
"NDUFS6" "ENSG00000145494"
"NDUFS6P1" "ENSG00000241905"
"NDUFS7" "ENSG00000115286"
"NDUFS8" "ENSG00000110717"
"NDUFV1" "ENSG00000167792"
"NDUFV2" "ENSG00000178127"
"NDUFV2-AS1" "ENSG00000266053"
"NDUFV2P1" "ENSG00000267809"
"NDUFV3" "ENSG00000160194"
"NEAT1" "ENSG00000245532"
"NEB" "ENSG00000183091"
"NEBL" "ENSG00000078114"
"NEBL-AS1" "ENSG00000231920"
"NEC1" NA
"NEC2" NA
"NECAB1" "ENSG00000123119"
"NECAB2" "ENSG00000103154"
"NECAB3" "ENSG00000125967"
"NECAP1" "ENSG00000089818"
"NECAP1P1" "ENSG00000178503"
"NECAP1P2" "ENSG00000234632"
"NECAP2" "ENSG00000157191"
"NECTIN1" "ENSG00000110400"
"NECTIN1-AS1" "ENSG00000255247"
"NECTIN2" "ENSG00000130202"
"NECTIN3" "ENSG00000177707"
"NECTIN3-AS1" "ENSG00000242242"
"NECTIN4" "ENSG00000143217"
"NEDD1" "ENSG00000139350"
"NEDD2" NA
"NEDD3" NA
"NEDD4" "ENSG00000069869"
"NEDD4L" "ENSG00000049759"
"NEDD6" NA
"NEDD7" NA
"NEDD8" "ENSG00000129559"
"NEDD8-MDP1" "ENSG00000255526"
"NEDD9" "ENSG00000111859"
"NEDD10" NA
"NEF4" NA
"NEF5" NA
"NEFH" "ENSG00000100285"
"NEFHP1" "ENSG00000223489"
"NEFL" "ENSG00000277586"
"NEFLL1" NA
"NEFLL2" NA
"NEFLP1" "ENSG00000232634"
"NEFM" "ENSG00000104722"
"NEFMP1" "ENSG00000224697"
"NEGF1" NA
"NEGF2" NA
"NEGR1" "ENSG00000172260"
"NEGR1-AS1" NA
"NEGR1-IT1" "ENSG00000228853"
"NEIL1" "ENSG00000140398"
"NEIL2" "ENSG00000154328"
"NEIL3" "ENSG00000109674"
"NEK1" "ENSG00000137601"
"NEK2" "ENSG00000117650"
"NEK2P1" NA
"NEK2P2" "ENSG00000231565"
"NEK2P3" NA
"NEK2P4" "ENSG00000230450"
"NEK3" "ENSG00000136098"
"NEK4" "ENSG00000114904"
"NEK4P1" "ENSG00000225735"
"NEK4P2" "ENSG00000264359"
"NEK4P3" "ENSG00000270754"
"NEK5" "ENSG00000197168"
"NEK6" "ENSG00000119408"
"NEK7" "ENSG00000151414"
"NEK8" "ENSG00000160602"
"NEK9" "ENSG00000119638"
"NEK10" "ENSG00000163491"
"NEK11" "ENSG00000114670"
"NELFA" "ENSG00000185049"
"NELFB" "ENSG00000188986"
"NELFCD" "ENSG00000101158"
"NELFE" "ENSG00000204356"
"NELL1" "ENSG00000165973"
"NELL2" "ENSG00000184613"
"NEM1" NA
"NEM2" NA
"NEMF" "ENSG00000165525"
"NEMP1" "ENSG00000166881"
"NEMP2" "ENSG00000189362"
"NENF" "ENSG00000117691"
"NENFP1" "ENSG00000233647"
"NENFP2" "ENSG00000258288"
"NENFP3" "ENSG00000248462"
"NEO1" "ENSG00000067141"
"NEP" NA
"NEPNP" "ENSG00000218233"
"NEPRO" "ENSG00000163608"
"NES" "ENSG00000132688"
"NET1" "ENSG00000173848"
"NET1" NA
"NETO1" "ENSG00000166342"
"NETO2" "ENSG00000171208"
"NEU1" "ENSG00000204386"
"NEU2" "ENSG00000115488"
"NEU3" "ENSG00000162139"
"NEU4" "ENSG00000204099"
"NEURL1" "ENSG00000107954"
"NEURL1-AS1" "ENSG00000235470"
"NEURL1B" "ENSG00000214357"
"NEURL2" "ENSG00000124257"
"NEURL3" "ENSG00000163121"
"NEURL4" "ENSG00000215041"
"NEUROD1" "ENSG00000162992"
"NEUROD2" "ENSG00000171532"
"NEUROD3" NA
"NEUROD4" "ENSG00000123307"
"NEUROD6" "ENSG00000164600"
"NEUROG1" "ENSG00000181965"
"NEUROG2" "ENSG00000178403"
"NEUROG2-AS1" "ENSG00000249509"
"NEUROG3" "ENSG00000122859"
"NEXMIF" "ENSG00000050030"
"NEXN" "ENSG00000162614"
"NEXN-AS1" "ENSG00000235927"
"NF1" "ENSG00000196712"
"NF1L3" NA
"NF1P1" "ENSG00000270831"
"NF1P2" "ENSG00000258997"
"NF1P3" "ENSG00000183249"
"NF1P4" "ENSG00000258027"
"NF1P5" "ENSG00000175319"
"NF1P6" "ENSG00000224435"
"NF1P7" "ENSG00000278143"
"NF1P8" "ENSG00000236956"
"NF1P9" "ENSG00000281347"
"NF1P10" "ENSG00000277529"
"NF1P11" "ENSG00000278184"
"NF1P12" "ENSG00000258360"
"NF2" "ENSG00000186575"
"NFAM1" "ENSG00000235568"
"NFASC" "ENSG00000163531"
"NFAT5" "ENSG00000102908"
"NFATC1" "ENSG00000131196"
"NFATC2" "ENSG00000101096"
"NFATC2IP" "ENSG00000176953"
"NFATC3" "ENSG00000072736"
"NFATC4" "ENSG00000100968"
"NFATC5" NA
"NFE2" NA
"NFE2L1" "ENSG00000082641"
"NFE2L2" "ENSG00000116044"
"NFE2L3" "ENSG00000050344"
"NFE2L3P1" "ENSG00000267497"
"NFE2L3P2" NA
"NFE4" "ENSG00000230257"
"NFIA" "ENSG00000162599"
"NFIA-AS1" "ENSG00000237853"
"NFIA-AS2" "ENSG00000237928"
"NFIB" "ENSG00000147862"
"NFIC" NA
"NFIL3" "ENSG00000165030"
"NFIX" "ENSG00000008441"
"NFIXL1" NA
"NFIXL2" NA
"NFIXL3" NA
"NFIXL4" NA
"NFIXL5" NA
"NFKB1" "ENSG00000109320"
"NFKB2" "ENSG00000077150"
"NFKB3" NA
"NFKBIA" "ENSG00000100906"
"NFKBIB" "ENSG00000104825"
"NFKBID" "ENSG00000167604"
"NFKBIE" "ENSG00000146232"
"NFKBIL1" "ENSG00000204498"
"NFKBIZ" "ENSG00000144802"
"NFRKB" "ENSG00000170322"
"NFS1" "ENSG00000244005"
"NFU1" "ENSG00000169599"
"NFU1P1" "ENSG00000230757"
"NFU1P2" "ENSG00000233557"
"NFX1" "ENSG00000086102"
"NFXL1" "ENSG00000170448"
"NFYA" "ENSG00000001167"
"NFYAP1" "ENSG00000237849"
"NFYB" "ENSG00000120837"
"NFYC" "ENSG00000066136"
"NFYC-AS1" "ENSG00000272145"
"NGB" "ENSG00000165553"
"NGDN" "ENSG00000129460"
"NGEF" "ENSG00000066248"
"NGF" "ENSG00000134259"
"NGF-AS1" "ENSG00000228035"
"NGFR" "ENSG00000064300"
"NGL" NA
"NGLY1" "ENSG00000151092"
"NGRN" "ENSG00000182768"
"NHCP1" NA
"NHCP2" NA
"NHE1" NA
"NHE2" NA
"NHE3" NA
"NHE3P" NA
"NHEJ1" "ENSG00000187736"
"NHLH1" "ENSG00000171786"
"NHLH2" "ENSG00000177551"
"NHLRC1" "ENSG00000187566"
"NHLRC2" "ENSG00000196865"
"NHLRC3" "ENSG00000188811"
"NHLRC4" "ENSG00000257108"
"NHP2" "ENSG00000145912"
"NHP2P1" "ENSG00000105988"
"NHP2P2" "ENSG00000213786"
"NHS" "ENSG00000188158"
"NHS-AS1" "ENSG00000230020"
"NHSL1" "ENSG00000135540"
"NHSL2" "ENSG00000204131"
"NIBAN1" "ENSG00000135842"
"NIBAN2" "ENSG00000136830"
"NIBAN3" NA
"NICN1" "ENSG00000145029"
"NICN1-AS1" NA
"NICN2P" NA
"NID1" "ENSG00000116962"
"NID2" "ENSG00000087303"
"NIDDM1" NA
"NIDDM2" NA
"NIF3L1" "ENSG00000196290"
"NIFK" "ENSG00000155438"
"NIFK-AS1" "ENSG00000236859"
"NIFKP1" "ENSG00000214434"
"NIFKP2" "ENSG00000251122"
"NIFKP3" "ENSG00000256331"
"NIFKP4" "ENSG00000261205"
"NIFKP5" NA
"NIFKP6" "ENSG00000268144"
"NIFKP7" "ENSG00000251590"
"NIFKP8" "ENSG00000259449"
"NIFKP9" "ENSG00000237630"
"NIM1K" "ENSG00000177453"
"NIN" "ENSG00000100503"
"NINJ1" "ENSG00000131669"
"NINJ2" "ENSG00000171840"
"NINJ2-AS1" "ENSG00000177406"
"NINL" "ENSG00000101004"
"NIP1L" NA
"NIP7" "ENSG00000132603"
"NIP7P1" "ENSG00000232805"
"NIP7P2" "ENSG00000213264"
"NIP7P3" "ENSG00000218428"
"NIPA1" "ENSG00000170113"
"NIPA2" "ENSG00000140157"
"NIPA2P1" "ENSG00000225843"
"NIPA2P2" "ENSG00000241022"
"NIPA2P3" "ENSG00000271486"
"NIPA2P4" "ENSG00000254151"
"NIPA2P5" "ENSG00000236277"
"NIPAL1" "ENSG00000163293"
"NIPAL2" "ENSG00000104361"
"NIPAL3" "ENSG00000001461"
"NIPAL4" "ENSG00000172548"
"NIPBL" "ENSG00000164190"
"NIPBL-DT" NA
"NIPSNAP1" "ENSG00000184117"
"NIPSNAP2" "ENSG00000146729"
"NIPSNAP3A" "ENSG00000136783"
"NIPSNAP3B" "ENSG00000165028"
"NISCH" "ENSG00000010322"
"NIT1" "ENSG00000158793"
"NIT2" "ENSG00000114021"
"NKAIN1" "ENSG00000084628"
"NKAIN1P1" "ENSG00000242943"
"NKAIN2" "ENSG00000188580"
"NKAIN3" "ENSG00000185942"
"NKAIN3-IT1" "ENSG00000274956"
"NKAIN4" "ENSG00000101198"
"NKAP" "ENSG00000101882"
"NKAPD1" "ENSG00000150776"
"NKAPL" "ENSG00000189134"
"NKAPP1" "ENSG00000233382"
"NKD1" "ENSG00000140807"
"NKD2" "ENSG00000145506"
"NKG2" NA
"NKG7" "ENSG00000105374"
"NKILA" "ENSG00000278709"
"NKIRAS1" "ENSG00000197885"
"NKIRAS2" "ENSG00000168256"
"NKPD1" "ENSG00000179846"
"NKR" NA
"NKRF" "ENSG00000186416"
"NKS1" NA
"NKTR" "ENSG00000114857"
"NKX1-1" "ENSG00000235608"
"NKX1-2" "ENSG00000229544"
"NKX2-1" "ENSG00000136352"
"NKX2-1-AS1" "ENSG00000253563"
"NKX2-2" "ENSG00000125820"
"NKX2-2-AS1" "ENSG00000258197"
"NKX2-3" "ENSG00000119919"
"NKX2-4" "ENSG00000125816"
"NKX2-5" "ENSG00000183072"
"NKX2-6" "ENSG00000180053"
"NKX2-8" "ENSG00000136327"
"NKX2A" NA
"NKX3-1" "ENSG00000167034"
"NKX3-2" "ENSG00000109705"
"NKX6-1" "ENSG00000163623"
"NKX6-2" "ENSG00000148826"
"NKX6-3" "ENSG00000165066"
"NLE1" "ENSG00000073536"
"NLGN1" "ENSG00000169760"
"NLGN1-AS1" "ENSG00000228213"
"NLGN2" "ENSG00000169992"
"NLGN3" "ENSG00000196338"
"NLGN4X" "ENSG00000146938"
"NLGN4Y" "ENSG00000165246"
"NLGN4Y-AS1" "ENSG00000228787"
"NLK" "ENSG00000087095"
"NLN" "ENSG00000123213"
"NLRC3" "ENSG00000167984"
"NLRC4" "ENSG00000091106"
"NLRC5" "ENSG00000140853"
"NLRP1" "ENSG00000091592"
"NLRP2" "ENSG00000022556"
"NLRP2B" "ENSG00000215174"
"NLRP3" "ENSG00000162711"
"NLRP3P1" "ENSG00000277883"
"NLRP4" "ENSG00000160505"
"NLRP5" "ENSG00000171487"
"NLRP6" "ENSG00000174885"
"NLRP7" NA
"NLRP8" NA
"NLRP9" NA
"NLRP9P1" "ENSG00000256581"
"NLRP10" NA
"NLRP11" "ENSG00000179873"
"NLRP12" "ENSG00000142405"
"NLRP13" "ENSG00000173572"
"NLRP14" NA
"NLRX1" "ENSG00000160703"
"NLVCF" NA
"NM" NA
"NMB" "ENSG00000197696"
"NMBR" "ENSG00000135577"
"NMBR-AS1" "ENSG00000236822"
"NMD3" "ENSG00000169251"
"NMD3P1" "ENSG00000226342"
"NMD3P2" "ENSG00000231504"
"NMDAR1" NA
"NMDAR2A" NA
"NMDAR2B" NA
"NMDAR2C" NA
"NMDARA1" NA
"NME1" "ENSG00000239672"
"NME1-NME2" "ENSG00000011052"
"NME1P1" "ENSG00000237175"
"NME2" "ENSG00000243678"
"NME2P1" "ENSG00000123009"
"NME3" "ENSG00000103024"
"NME4" "ENSG00000103202"
"NME5" "ENSG00000112981"
"NME6" "ENSG00000172113"
"NME7" "ENSG00000143156"
"NME8" "ENSG00000086288"
"NME9" "ENSG00000181322"
"NMI" "ENSG00000123609"
"NMNAT1" "ENSG00000173614"
"NMNAT1P1" "ENSG00000259167"
"NMNAT1P2" "ENSG00000225719"
"NMNAT1P3" "ENSG00000238077"
"NMNAT1P4" "ENSG00000248745"
"NMNAT1P5" "ENSG00000259573"
"NMNAT2" "ENSG00000157064"
"NMNAT3" "ENSG00000163864"
"NMOR1" NA
"NMRAL1" "ENSG00000153406"
"NMRAL2P" "ENSG00000171658"
"NMRK1" "ENSG00000106733"
"NMRK2" "ENSG00000077009"
"NMS" "ENSG00000204640"
"NMT1" "ENSG00000136448"
"NMT2" "ENSG00000152465"
"NMTRL-TAA1-1" NA
"NMTRL-TAA2-1" NA
"NMTRL-TAA3-1" NA
"NMTRL-TAA4-1" NA
"NMTRL-TAA5-1" NA
"NMTRL-TAA6-1" NA
"NMTRP-TGG1-1" NA
"NMTRQ-CTG1-1" NA
"NMTRQ-TTG1-1" NA
"NMTRQ-TTG2-1" NA
"NMTRQ-TTG3-1" NA
"NMTRQ-TTG4-1" NA
"NMTRQ-TTG5-1" NA
"NMTRQ-TTG6-1" NA
"NMTRQ-TTG7-1" NA
"NMTRQ-TTG8-1" NA
"NMTRQ-TTG9-1" NA
"NMTRQ-TTG10-1" NA
"NMTRQ-TTG11-1" NA
"NMTRQ-TTG12-1" "ENSG00000242752"
"NMTRQ-TTG13-1" NA
"NMTRQ-TTG14-1" NA
"NMTRQ-TTG15-1" NA
"NMTRS-TGA1-1" NA
"NMTRS-TGA2-1" NA
"NMTRS-TGA3-1" "ENSG00000241225"
"NMTRV-TAC1-1" NA
"NMU" "ENSG00000109255"
"NMUR1" "ENSG00000171596"
"NMUR2" "ENSG00000132911"
"NNAT" "ENSG00000053438"
"NNMT" "ENSG00000166741"
"NNO1" NA
"NNT" "ENSG00000112992"
"NNT-AS1" "ENSG00000248092"
"NOA1" "ENSG00000084092"
"NOB1" "ENSG00000141101"
"NOBOX" "ENSG00000106410"
"NOC2L" "ENSG00000188976"
"NOC2LP1" "ENSG00000213225"
"NOC2LP2" "ENSG00000217950"
"NOC3L" "ENSG00000173145"
"NOC4L" "ENSG00000184967"
"NOCT" "ENSG00000151014"
"NOD1" "ENSG00000106100"
"NOD2" "ENSG00000167207"
"NODAL" "ENSG00000156574"
"NOG" "ENSG00000183691"
"NOL2" NA
"NOL3" "ENSG00000140939"
"NOL4" "ENSG00000101746"
"NOL4L" "ENSG00000197183"
"NOL4L-DT" "ENSG00000204393"
"NOL6" "ENSG00000165271"
"NOL7" "ENSG00000225921"
"NOL8" "ENSG00000198000"
"NOL8P1" "ENSG00000248327"
"NOL9" "ENSG00000162408"
"NOL10" "ENSG00000115761"
"NOL11" "ENSG00000130935"
"NOL12" "ENSG00000273899"
"NOLC1" "ENSG00000166197"
"NOM1" "ENSG00000146909"
"NOMO1" "ENSG00000103512"
"NOMO2" "ENSG00000185164"
"NOMO3" "ENSG00000103226"
"NONO" "ENSG00000147140"
"NONOP1" NA
"NONOP2" "ENSG00000237522"
"NOP2" "ENSG00000111641"
"NOP9" "ENSG00000196943"
"NOP10" "ENSG00000182117"
"NOP14" "ENSG00000087269"
"NOP14-AS1" "ENSG00000249673"
"NOP16" "ENSG00000048162"
"NOP53" "ENSG00000105373"
"NOP53-AS1" "ENSG00000269656"
"NOP56" "ENSG00000101361"
"NOP56P1" "ENSG00000235559"
"NOP56P2" "ENSG00000226626"
"NOP56P3" "ENSG00000257956"
"NOP58" "ENSG00000055044"
"NORAD" "ENSG00000260032"
"NOS1" "ENSG00000089250"
"NOS1AP" "ENSG00000198929"
"NOS2" "ENSG00000007171"
"NOS2P1" "ENSG00000265788"
"NOS2P2" "ENSG00000167494"
"NOS2P3" "ENSG00000230528"
"NOS2P4" "ENSG00000264892"
"NOS3" "ENSG00000164867"
"NOSIP" "ENSG00000142546"
"NOSTRIN" "ENSG00000163072"
"NOT1" NA
"NOT2" NA
"NOT3" NA
"NOT4" NA
"NOTCH1" "ENSG00000148400"
"NOTCH2" "ENSG00000134250"
"NOTCH2NLA" "ENSG00000264343"
"NOTCH2NLB" "ENSG00000286019"
"NOTCH2NLC" "ENSG00000286219"
"NOTCH2NLR" NA
"NOTCH2P1" "ENSG00000226446"
"NOTCH3" "ENSG00000074181"
"NOTCH4" "ENSG00000204301"
"NOTO" "ENSG00000214513"
"NOTUM" "ENSG00000185269"
"NOVA1" "ENSG00000139910"
